Scheme,State,Crop,Max_Land_Acres,Max_Income,Subsidy_Amount,Description,Category
Balasaheb Thackeray Sheti Yojana,Maharashtra,All,8,400000,50000,Subsidized farm fencing and water storage tank construction for SC/ST farmers.,Agriculture
Chief Minister Crop Diversification Scheme,Himachal Pradesh,Vegetables,5,300000,45000,80% subsidy on low cost polyhouses and micro-irrigation for vegetable growers.,Agriculture
Organic Seedling Subsidy,Kerala,Vegetables,3,200000,8000,75% subsidy on organic inputs grow bags and premium vegetable seedlings.,Agriculture
Assam Darshan Agri Scheme,Assam,Tea,8,400000,25000,50% subsidy for small tea growers for replanting pruning and factory setup costs.,Agriculture
Mukhyamantri Krishi Yojana,Uttarakhand,All,5,300000,15000,Financial support for hill farmers including seed subsidy polyhouse construction and organic certification.,Agriculture
J&K Holistic Agriculture Development Programme,Jammu and Kashmir,All,5,400000,30000,Support for high density plantation saffron cultivation and protected cultivation in the UT of J&K.,Agriculture
Goa Shetkari Aadhar Scheme,Goa,All,3,200000,10000,Income support of Rs 10000 per year to farmers with land holdings up to 3 acres.,Finance
Meghalaya Livelihood Support,Meghalaya,All,5,300000,20000,Financial assistance for integrated farming including piggery poultry fishery and horticulture in NE hills.,Agriculture
North East Special Package,Nagaland,All,8,400000,35000,90% central assistance for agriculture horticulture and animal husbandry development projects in NE states.,Agriculture
Manipur Organic Mission,Manipur,All,5,300000,15000,State mission for organic farming with subsidy for organic inputs certification and marketing support.,Agriculture
Tripura Agriculture Mission,Tripura,All,5,300000,12000,Support for rubber plantation pineapple cultivation and aquaculture development in Tripura.,Agriculture
Sikkim Organic Mission,Sikkim,All,5,300000,20000,100% organic state providing continued support for organic inputs marketing and farmer training.,Agriculture
Mizoram Agriculture Extension,Mizoram,All,5,300000,18000,Support for wet rice cultivation oil palm plantation and integrated farming systems.,Agriculture
Arunachal Pradesh Horticulture Mission,Arunachal Pradesh,Fruits,5,300000,25000,Subsidy for kiwi apple and citrus fruit orchards in high altitude areas.,Agriculture
Cotton Development Programme,Maharashtra,Cotton,10,600000,25000,Subsidy for high-density planting system (HDPS) certified seeds and integrated pest management for cotton.,Agriculture
Sugarcane Development Programme,Uttar Pradesh,Sugarcane,15,800000,35000,Financial support for drip irrigation in sugarcane intercropping and varietal replacement.,Agriculture
Tea Board Small Grower Subsidy,Assam,Tea,10,500000,30000,Subsidy for replanting pruning and factory modernisation for small tea growers registered with Tea Board.,Agriculture
Coffee Board Development Scheme,Karnataka,Coffee,10,600000,40000,Subsidy for replanting water augmentation quality improvement and certification for coffee growers.,Agriculture
Rubber Board Planting Subsidy,Kerala,All,5,400000,25000,Financial assistance for new rubber planting replanting and rain guarding for rubber smallholders.,Agriculture
Jute ICARE,West Bengal,Jute,10,400000,12000,Improved Cultivation and Advanced Retting Exercise providing certified seeds retting chemicals and mechanical support.,Agriculture
National Mission on Millets,All,Millets,10,500000,15000,Support for increasing area production and consumption of millets including value addition and marketing.,Agriculture
Millet Promotion Scheme,Rajasthan,Millets,8,400000,10000,State incentive for bajra jowar and ragi cultivation with subsidized seeds and extension services.,Agriculture
Pradhan Mantri Kisan Maandhan Yojana,All,All,5,180000,36000,Pension scheme for small and marginal farmers providing Rs 3000 per month after age 60.,Finance
National Livestock Mission,All,All,20,1000000,250000,Entrepreneurship support for poultry sheep goat and pig rearing including feed and breed improvement.,Agriculture
Integrated Scheme for Agricultural Marketing (ISAM),All,All,30,2000000,500000,Assistance for creation and modernization of agricultural marketing infrastructure including cold storages and warehouses.,Technology
Sub Mission on Agricultural Extension (SMAE),All,All,15,600000,15000,Support for farmer advisory services through Kisan Call Centres mass media campaigns and digital platforms.,Agriculture
Neem Coated Urea Scheme,All,All,50,5000000,2000,Mandatory neem coating of urea to improve nitrogen use efficiency and reduce diversion for non-agricultural use.,Agriculture
National Project on Organic Farming (NPOF),All,All,10,500000,25000,Production of bio-fertilizers organic inputs and capacity building through regional centres across India.,Agriculture
Farm Pond Scheme,Karnataka,All,10,500000,50000,90% subsidy for construction of farm ponds for rainwater harvesting and supplementary irrigation.,Irrigation
Balram Tal Yojana,Madhya Pradesh,All,10,500000,80000,Financial assistance for construction of water storage structures and farm ponds on agricultural land.,Irrigation
Mukhyamantri Jal Swavlamban Abhiyan,Rajasthan,All,10,500000,60000,Water harvesting and conservation scheme with subsidy for check dams anicuts and farm ponds.,Irrigation
AP Micro Irrigation Project,Andhra Pradesh,All,12,600000,70000,Community-based micro irrigation projects with 90% subsidy for SC/ST and small farmers.,Irrigation
